Date	Closing Price (USD)	Behavior
2013-10-01 04:00:00.000	123.65498999999998	0
2013-10-02 04:00:00.000	125.455	1
2013-10-03 04:00:00.000	108.58483000000001	0
2013-10-04 04:00:00.000	118.67466	1
2013-10-05 04:00:00.000	121.33866	1
2013-10-06 04:00:00.000	120.65533	0
2013-10-07 04:00:00.000	121.795	1
2013-10-08 04:00:00.000	123.03299999999999	1
2013-10-09 04:00:00.000	124.04899999999999	1
2013-10-10 04:00:00.000	125.96116	1
2013-10-11 04:00:00.000	125.27966	0
2013-10-12 04:00:00.000	125.9275	1
2013-10-13 04:00:00.000	126.38333	1
2013-10-14 04:00:00.000	135.24199	1
2013-10-15 04:00:00.000	133.20333	0
2013-10-16 04:00:00.000	142.76333	1
2013-10-17 04:00:00.000	137.92333	0
2013-10-18 04:00:00.000	142.95166	1
2013-10-19 04:00:00.000	152.55183	1
2013-10-20 04:00:00.000	160.33883	1
2013-10-21 04:00:00.000	164.31499	1
2013-10-22 04:00:00.000	177.63333	1
2013-10-23 04:00:00.000	188.29716000000002	1
2013-10-24 04:00:00.000	200.70166	1
2013-10-25 04:00:00.000	180.355	0
2013-10-26 04:00:00.000	175.03166000000002	0
2013-10-27 04:00:00.000	177.6965	1
2013-10-28 04:00:00.000	187.15983	1
2013-10-29 04:00:00.000	192.75666	1
2013-10-30 04:00:00.000	197.4	1
2013-10-31 04:00:00.000	196.02499	0
2013-11-01 04:00:00.000	198.04883	1
2013-11-02 04:00:00.000	198.93233	1
2013-11-03 04:00:00.000	200.543	1
2013-11-04 05:00:00.000	210.3075	1
2013-11-05 05:00:00.000	225.02	1
2013-11-06 05:00:00.000	248.25332999999998	1
2013-11-07 05:00:00.000	262.32666	1
2013-11-08 05:00:00.000	294.48699	1
2013-11-09 05:00:00.000	331.10325	1
2013-11-10 05:00:00.000	285.8875	0
2013-11-11 05:00:00.000	304.97974	1
2013-11-12 05:00:00.000	338.13699999999994	1
2013-11-13 05:00:00.000	357.48	1
2013-11-14 05:00:00.000	402.954	1
2013-11-15 05:00:00.000	409.10375	1
2013-11-16 05:00:00.000	420.21649	1
2013-11-17 05:00:00.000	437.29725	1
2013-11-18 05:00:00.000	510.6025	1
2013-11-19 05:00:00.000	693.65	1
2013-11-20 05:00:00.000	531.54249	0
2013-11-21 05:00:00.000	574.71599	1
2013-11-22 05:00:00.000	681.33	1
2013-11-23 05:00:00.000	774.18	1
2013-11-24 05:00:00.000	746.19374	0
2013-11-25 05:00:00.000	768.8475	1
2013-11-26 05:00:00.000	789.36475	1
2013-11-27 05:00:00.000	893.1815	1
2013-11-28 05:00:00.000	934.355	1
2013-11-29 05:00:00.000	1068.363	1
2013-11-30 05:00:00.000	1154.92593	1
2013-12-01 05:00:00.000	1099.51926	0
2013-12-02 05:00:00.000	1019.7896599999999	0
2013-12-03 05:00:00.000	1028.845	1
2013-12-04 05:00:00.000	1071.2848	1
2013-12-05 05:00:00.000	1139.33083	1
2013-12-06 05:00:00.000	1004.6163300000001	0
2013-12-07 05:00:00.000	759.4304099999999	0
2013-12-08 05:00:00.000	689.81	0
2013-12-09 05:00:00.000	841.83966	1
2013-12-10 05:00:00.000	916.7759900000001	1
2013-12-11 05:00:00.000	967.4286599999999	1
2013-12-12 05:00:00.000	866.2900300000001	0
2013-12-13 05:00:00.000	911.23204	1
2013-12-14 05:00:00.000	889.8194599999999	0
2013-12-15 05:00:00.000	848.9975	0
2013-12-16 05:00:00.000	868.9531599999999	1
2013-12-17 05:00:00.000	653.80483	0
2013-12-18 05:00:00.000	654.0626599999999	1
2013-12-19 05:00:00.000	553.69166	0
2013-12-20 05:00:00.000	693.05883	1
2013-12-21 05:00:00.000	649.38965	0
2013-12-22 05:00:00.000	595.95883	0
2013-12-23 05:00:00.000	647.6831599999999	1
2013-12-24 05:00:00.000	671.58116	1
2013-12-25 05:00:00.000	659.84333	0
2013-12-26 05:00:00.000	702.00083	1
2013-12-27 05:00:00.000	758.0101599999999	1
2013-12-28 05:00:00.000	734.01166	0
2013-12-29 05:00:00.000	717.92623	0
2013-12-30 05:00:00.000	752.8202200000001	1
2013-12-31 05:00:00.000	744.17249	0
2014-01-01 05:00:00.000	768.40783	1
2014-01-02 05:00:00.000	769.0984900000001	1
2014-01-03 05:00:00.000	804.02719	1
2014-01-04 05:00:00.000	813.3174799999999	1
2014-01-05 05:00:00.000	871.1158300000001	1
2014-01-06 05:00:00.000	970.65083	1
2014-01-07 05:00:00.000	962.4644699999999	0
2014-01-08 05:00:00.000	855.7593300000001	0
2014-01-09 05:00:00.000	860.8416599999999	1
2014-01-10 05:00:00.000	847.5325	0
2014-01-11 05:00:00.000	892.26115	1
2014-01-12 05:00:00.000	916.69666	1
2014-01-13 05:00:00.000	873.2716800000001	0
2014-01-14 05:00:00.000	863.69888	0
2014-01-15 05:00:00.000	853.25666	0
2014-01-16 05:00:00.000	874.07416	1
2014-01-17 05:00:00.000	842.1917300000001	0
2014-01-18 05:00:00.000	834.8666599999999	0
2014-01-19 05:00:00.000	838.4291599999999	1
2014-01-20 05:00:00.000	881.8758300000001	1
2014-01-21 05:00:00.000	873.2891599999999	0
2014-01-22 05:00:00.000	874.13266	1
2014-01-23 05:00:00.000	864.56116	0
2014-01-24 05:00:00.000	838.14997	0
2014-01-25 05:00:00.000	834.57416	0
2014-01-26 05:00:00.000	858.12641	1
2014-01-27 05:00:00.000	887.08337	1
2014-01-28 05:00:00.000	830.53133	0
2014-01-29 05:00:00.000	832.89496	1
